brand,url
Pampers,https://www.fairprice.com.sg/search?query=diapers&filter=brand%3Apampers%26Country%20Of%20Origin%3AJapan%26price%3A%5B10%20TO%2025%5D
Pampers,https://www.fairprice.com.sg/search?query=diapers&filter=brand%3Apampers%26Country%20Of%20Origin%3AJapan%26price%3A%5B25%20TO%20*%5D
Pampers,https://www.fairprice.com.sg/search?query=diapers&filter=brand%3Apampers%26Country%20Of%20Origin%3APhilippines
Pampers,https://www.fairprice.com.sg/search?query=diapers&filter=brand%3Apampers%26Country%20Of%20Origin%3AUSA
Merries,https://www.fairprice.com.sg/search?query=diapers&filter=brand%3Amerries
MamyPoko,https://www.fairprice.com.sg/search?query=diapers&filter=brand%3Amamypoko%26Country%20Of%20Origin%3AJapan%26price%3A%5B10%20TO%2025%5D
MamyPoko,https://www.fairprice.com.sg/search?query=diapers&filter=brand%3Amamypoko%26Country%20Of%20Origin%3AJapan%26price%3A%5B25%20TO%20*%5D
MamyPoko,https://www.fairprice.com.sg/search?query=diapers&filter=brand%3Amamypoko%26Country%20Of%20Origin%3AIndonesia
MamyPoko,https://www.fairprice.com.sg/search?query=diapers&filter=brand%3Amamypoko%26Country%20Of%20Origin%3AThailand
